KH_ID,GioiTinh,QueQuan,NamHocThu,ChuyenNganh,NgheNghiepGiaDinh,ChiTieuHangThang,ThoiGianSuDung,MucDichSuDungLaptop,MucDoHaiLong,YeuToThuongHieuSP,YeuToCauHinh,YeuToTocDoXuLy,YeuToGia,YeuToThietKe,YeuToUyTinNhaBanle,YeuToBaoMat,YeuToBaoHanh,YeuToKhuyenMai
CTM81357,N?,B?nh Ð?nh,Nãm 4,Thýõng m?i,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,4,4,4,3,4,4,4,3
CTM81477,Nam,H? Chí Minh,Nãm 2,Qu?n tr? tài chính,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,2,3,3,2,3,2,2,3,2
CTM8154,N?,Qu?ng B?nh,Nãm 1,Qu?n tr? d?ch v? du l?ch và l? hành,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,3,3,2,2,3,3,4,4,4
CTM81540,N?,H? Chí Minh,Nãm 3,Thýõng m?i,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,2,3,3,4,5,4,4,4,4
CTM81567,N?,Ð?k L?k,Nãm 2,K? toán,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,2,3,3,3,4,3,5,5
CTM81638,Nam,Hà N?i,Nãm 4,Thýõng m?i ði?n t?,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web), Khác",5,4,4,4,2,2,3,3,3,2
CTM81643,N?,H? Chí Minh,Nãm 4,Quan h? công chúng,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,5,5,5,3,5,5,4,4,3
CTM81720,N?,Th?a Thiên Hu?,Nãm 2,K? toán,Nông dân,Dý?i 1.500.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,3,3,4,3,4,2,5,5
CTM8176,N?,Kon Tum,Nãm 3,Qu?n l? nhà ný?c,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,H?c t?p,3,2,2,3,4,4,3,2,3,4
CTM81885,Nam,Hà N?i,Nãm 4,Thýõng m?i ði?n t?,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,5,4,3,3,3,3,4,3
CTM81917,N?,B?nh Ð?nh,Nãm 3,Qu?n tr? kinh doanh,Nông dân,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,5,5,4,5,5,1,5,3
CTM8193,N?,B?nh Ð?nh,Nãm 4,Ngân hàng,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,3,4,4,4,4,4,4,4,4
CTM81940,N?,Qu?ng Ng?i,Nãm 4,Thýõng m?i,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,4,4,5,3,4,4,5,4
CTM82054,N?,Kon Tum,Nãm 1,Tài chính doanh nghi?p,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,2,3,3,4,2,2,4,5,4
CTM82100,Nam,Gia Lai,Nãm 4,Lu?t,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,H?c t?p,4,3,3,4,2,2,2,2,2,2
CTM82173,Nam,Ð?k Nông,Nãm 2,Lu?t,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,3,3,3,3,3,3,3,3
CTM82200,N?,Hà N?i,Nãm 2,Toán kinh t?,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,4,5,5,5,4,5,2,4,5
CTM82229,N?,Hà T?nh,Nãm 3,Thýõng m?i,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,H?c t?p,4,2,2,3,4,4,3,2,4,4
CTM82286,Nam,Kon Tum,Nãm 3,Thýõng m?i ði?n t?,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game",3,4,4,4,4,2,2,3,4,5
CTM82552,Nam,H? Chí Minh,Nãm 4,Quan h? công chúng,Nhân viên vãn ph?ng,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,5,4,4,5,5,5,5,4,4
CTM82780,N?,Hà N?i,Nãm 4,Thýõng m?i,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",4,5,4,4,5,4,5,3,4,3
CTM82899,N?,B?nh Ð?nh,Nãm 2,Qu?n tr? kinh doanh,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,4,4,3,4,4,4,4,3
CTM82917,N?,Qu?ng B?nh,Nãm 2,Qu?n tr? d?ch v? du l?ch và l? hành,Nông dân,Dý?i 1.500.000,Dý?i 6 tháng,H?c t?p,4,4,2,2,4,4,3,3,3,4
CTM82992,Nam,Hà N?i,Nãm 3,Quan h? công chúng,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game",3,4,3,4,4,2,3,2,5,5
CTM83000,N?,Ngh? An,Nãm 2,K? toán,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,5,5,5,3,3,4,5,5,3
CTM8302,Nam,Th?a Thiên Hu?,Nãm 4,Ki?m toán,Nông dân,T? 3.000.000 ð?n 5.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Chõi game",3,3,4,4,5,1,3,1,2,4
CTM83049,Nam,Hà N?i,Nãm 3,Thýõng m?i ði?n t?,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,H?c t?p,4,2,3,4,2,3,4,2,3,4
CTM83076,Nam,B?nh Ð?nh,Nãm 1,Ngân hàng,Nông dân,Dý?i 1.500.000,Dý?i 6 tháng,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,2,4,4,5,3,2,2,4,4
CTM83104,N?,Qu?ng Ng?i,Nãm 4,K? toán,Nông dân,Dý?i 1.500.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",3,2,3,3,3,4,2,3,4,4
CTM83207,N?,H? Chí Minh,Nãm 2,Ngo?i thýõng,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,3,3,4,5,5,4,4,4
CTM8324,N?,Qu?ng Tr?,Nãm 1,Ngo?i thýõng,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,5,4,5,5,4,5,5,4,5
CTM83286,N?,Hà N?i,Nãm 2,Toán kinh t?,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,H?c t?p,5,2,5,5,4,2,4,2,5,4
CTM83333,N?,Ðà N?ng,Nãm 1,K? toán,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,4,4,5,4,4,4,4,4
CTM83416,Nam,Hà N?i,Nãm 3,H? th?ng thông tin qu?n l?,Công ch?c nhà ný?c,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,5,5,4,3,5,4,5,3
CTM8353,N?,H? Chí Minh,Nãm 4,Thýõng m?i,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,H?c t?p,4,3,4,4,4,4,4,4,4,4
CTM83544,Nam,H? Chí Minh,Nãm 4,Quan h? công chúng,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,5,3,2,4,4,2,3,4,4
CTM83631,N?,Th?a Thiên Hu?,Nãm 3,Thýõng m?i,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,H?c t?p,4,4,3,3,4,2,4,2,4,5
CTM83662,Nam,Hà N?i,Nãm 2,Ki?m toán,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,H?c t?p,3,2,3,4,3,2,4,3,4,4
CTM83772,Nam,H? Chí Minh,Nãm 4,Toán kinh t?,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,5,3,4,5,5,2,4,3,5
CTM83797,Nam,H? Chí Minh,Nãm 1,Khoa h?c d? li?u,Nhân viên vãn ph?ng,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,5,5,5,3,3,5,3,5,3
CTM83809,N?,Ð?k L?k,Nãm 4,Thýõng m?i,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",5,4,4,4,5,3,5,2,5,4
CTM83815,N?,Hà N?i,Nãm 3,Ngân hàng,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,Dý?i 6 tháng,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,4,4,5,4,4,5,5,4
CTM83857,Nam,Hà N?i,Nãm 2,Toán kinh t?,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,5,5,5,2,3,4,5,5
CTM84024,Nam,B?nh Ð?nh,Nãm 3,Toán kinh t?,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,2,5,5,4,1,2,4,3,4
CTM84162,N?,Th?a Thiên Hu?,Nãm 2,Thýõng m?i,Nông dân,T? 1.500.000 ð?n 3.000.000,Trên 2 nãm,"H?c t?p, Gi?i trí (xem phim, nghe nh?c, lý?t web)",2,3,2,3,4,3,2,2,4,3
CTM84225,N?,B?nh Ð?nh,Nãm 1,Qu?n tr? khách s?n,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,Chõi game,3,4,4,4,4,4,4,4,4,4
CTM84428,Nam,Ðà N?ng,Nãm 3,Ngân hàng,Kinh doanh t? do,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Chõi game",4,2,3,4,3,2,4,3,4,3
CTM84500,Nam,Ð?k Nông,Nãm 3,Ki?m toán,Kinh doanh t? do,T? 3.000.000 ð?n 5.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,3,4,3,2,3,2,3,4
CTM84504,N?,Qu?ng B?nh,Nãm 3,Thýõng m?i,Nhân viên vãn ph?ng,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c",5,2,3,4,3,3,2,3,4,5
CTM84682,N?,H? Chí Minh,Nãm 4,Qu?n tr? d?ch v? du l?ch và l? hành,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Chõi game, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,4,4,4,4,4,4,4,4,4
CTM84712,N?,H? Chí Minh,Nãm 2,Ngân hàng,Công ch?c nhà ný?c,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,H?c t?p,5,2,4,4,4,4,3,2,3,3
CTM84729,N?,H? Chí Minh,Nãm 4,Qu?n tr? Marketing,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 6 tháng - 1 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",4,3,3,3,5,3,3,3,5,5
CTM84730,N?,Qu?ng B?nh,Nãm 2,Qu?n tr? ngu?n nhân l?c,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,"H?c t?p, Làm vi?c, Gi?i trí (xem phim, nghe nh?c, lý?t web)",3,4,2,3,4,4,5,2,4,3
CTM84777,N?,Hà T?nh,Nãm 4,K? toán,Nông dân,T? 1.500.000 ð?n 3.000.000,T? 1 nãm ð?n 2 nãm,H?c t?p,3,2,3,3,4,2,3,2,3,4
